,,d,d,d
920821279384621056,"#metoo Because my freshman year boyfriend didn't allow"" me to wear tampons bc he didn't want anything up my vagina.""",1,1,1
921643857024045056,"The 1st time a grown man commented about how good my body looked, I was in the 5th grade. I never said anything til now & I'm sorry #metoo",1,1,3
921999661757599744,The latest The Jonas Bernard Russia* Daily! https:// paper.li/DjonasBernard? edition_id=76687a80-b6f9-11e7-b291-0cc47a0d164b … #game7 #metoo,2,,
920082888250363904,When are the dudes going to step forward and admit they harassed/assaulted women? We aren't victims without perpetrators. #MeToo,1,3,
920010947409821696,Controversial question of the day : Is flirting sexual harassment ? #MeToo,1,3,
921113659262275584,I want a large edge to edge screen from Apple. #MeToo,2,,
920160567817621505,He was my boss. He wanted me to be his girlfriend. I left my #Jobs . He already had a girlfriend who had just had a baby. #MeToo tm,1,1,1
920091962266521600,"#MeToo About me being a heavy sleeper and him having a Somnophilia fetish. He said he didn't do anything, but he admitted he could have",1,1,1
920063675435589632,"Because whenever I confront a #DudeBro for aggressively hitting on me in public I'm called rude"" #MeToo""",1,1,1
920067883421655041,"Once a guy said he “liked my dress”, so he followed me to work. Luckily I was in a high population area. Could have been way worse. #metoo",1,1,1
920179469779918848,"That asshole who groped my butt walking by, that guy who called me „Fat Pussy“, the guy that rubbed his junk on my ass at a concert. #MeToo",1,1,2
920418834523283457,Raped and sexually assaulted as a child...you will heal.. Speak out.. #Metoo,1,1,3
922033814846636032,"If you go home with a guy and realize you’re uncomfortable with the situation and say no, stop, but he doesn’t stop? It’s still rape. #metoo",1,1,3
923342974284595201,I’m a male and I was sexually assaulted when I was 14. #MeToo,1,1,3
919946396169621504,Tweet #METoo if you have ever been subjected to sexual harassment in the workplace.,1,1,2
919872979084959745,It was my fault. What's the hashtag for admitting that I was part of the problem? #MeToo,1,3,
923995977622491136,"I wanted to vomit from fear, as I watched his hand reach for my breast ... #MeToo",1,1,2
919889683991154688,I was 12. #MeToo https:// twitter.com/Alyssa_Milano/ status/919659438700670976 …,1,1,3
920826410348015616,Because I have to live with it everyday. Because it affects my grades/health/work/relationships. #MeToo,1,1,2
920091085015171073,"So we're clear, #metoo in the film industry, but also me too in academia, service industry, & retail. also me too at christian middle school",1,1,1
920902377326002176,"He was my aunty’s husbands father, my cousins grandfather. & all tho he is dead, nothing will take away the memories. #Metoo for u sistr",2,,
921817045720633344,"Bill O'Reilly is trending, WHY ISN'T HE DEAD? Hey @BillOReilly why aren't you dead? #BillOReilly #MSNBC #CNN #FoxNews #SexualPredator #MeToo",1,3,
919939027004022785,#MeToo when I was 15 a male friend was 20. He got me in a secluded area and tried to rape me. I was lucky and got away.,1,1,3
920370622785642496,The latest The wolfsrebellen Daily! https:// paper.li/wolfsrebellen? edition_id=29b4f190-b371-11e7-a385-0cc47a0d1605 … Thanks to @upperbavarian @warriorhb @MarcusKoenig #metoo #handelsblatt,2,,
920921399904129024,Dear white women- please use your #metoo as an impetus to become an advocate for POC & LGBTQ women.,1,3,
919985708269309952,"I spent long years of my life feeling guilty and ashamed for a crime I didn't commit. I was 8. For all the children out there, #MeToo",1,1,3
920760967994241026,#metoo when men told me I’m a whore for telling them no,1,1,1
920035838955851776,"I have been stalked for months and nothing can be done because he's never presented any real risk"" even though I don't feel safe. #MeToo""",1,1,2
920099698958131200,My perpetrator told me he wanted to give me his purity necklace after he assaulted me. #MeToo,1,1,2
919851140165939200,"It still feels disgusting to recall that unauthorised touch. It is my body for me to celebrate, not theirs to violate. #MeToo",1,1,2
920864796676841473,I was 15. A boy slapped my butt in the hall at school. I cried and asked him why&he told me it was my fault for wearing skinny jeans. #MeToo,1,1,2
919935565516087296,"I thought like 'Me? It never happened to me.' - because I've only"" been harassed and groped. As if that's normal. #metoo""",1,1,2
919932404462243840,#MeToo the first time u was cat called was in 8th grade by a 7th grade boy. I was too embarrassed to tell my parents or school.,1,1,1
920026056643481600,"Instead of women having to say they were raped or sexually assaulted, how about men say if they were the ones that did it. #metoo",1,3,
919998371892482050,The #MeToo covers up what has actually goes on everywhere. But we must talk about pedophilia too. Why aren't we standing up for children?,1,3,
921186371469004801,"You should checkout my book satire for men, which women have been waiting for! https:// youtu.be/98aW2wNJteM #MeToo",1,2,
920316711273984001,"So no one is allowed to ask a woman out or make a compliment on a woman's looks cause she may scream harassment? #THEVIEW , #METOO",1,3,
922308400112979968,A few years ago an unattractive man asked me how my day was going. Since I didn't know him it violated the sanctity of my being. #metoo,1,1,1
922133089530384385,Are muslim men excluded and immune for this sexual harrassment call?Because for muslim men this is call from Koran to behave as pigs #metoo,1,3,
921023013071364096,@Alyssa_Milano #MeToo 7 years of abuse. 5years of age until 12 years of age. I am a survivor. I want to help.,1,1,3
920102494222548992,"#metoo . By a boss, a co-worker, a cop, a boyfriend, random jerks on the street, and so on.",1,1,1
919908075640942594,"I am male, but am adding my voice 2 show that sexual assault & abuse is so rampent it crosses all boundaries. Happens when I was 5. #MeToo",1,1,3
920415506154131456,"To feminists using this hashtag as a cudgel to attack men, allow me to present the following... #MeToo https://www. scientificamerican.com/article/sexual -victimization-by-women-is-more-common-than-previously-known/ …",1,2,
919954922241748992,Dudes should call out their peers who are perpetrators instead of women telling each other to confess some horrible shit publicly? #metoo,1,3,
920040196741230593,#metoo Paris when I was 16 heading to visit my pen friend. Norfolk when I was 22 being expected to 'earn' some bar work. Others I can't say.,1,1,1
920386835376984064,"Do other people log the appearance of oncoming men in their brains, in case they get attacked and need to identify the person? #MeToo",1,3,
919892268269654016,"When working at #menards I was constantly told to smile more by my male co workers, was given unsolicited shoulder rubs and asked if I was on welfare when pregnant. #MeToo",1,1,2
920347892656820224,Sister just got harassed @sainsburys by a staff member. Wouldn't stop trying to chat her up even though she ignored. Was intimidated #metoo,1,1,1
924753709921439744,"#metoo So, please, ask your friends who live in Manhattan (New York County) to abstain from casting a vote for Cy @ManhattanDA Vance Nov 7",2,,
920740506602053634,"I cant acknowledge the  MeToo "" trend as you are again victimising yourself therefore giving the abuser the power they had over you once more""",1,2,
921880750445690880,The latest BCSBookNews and Reviews! https:// paper.li/bobann/1425659 296?edition_id=73b98d20-b6b7-11e7-8999-0cc47a0d1609 … #trump #metoo,2,,
923984674493476864,I’m sharing my #MeToo . I voted for Republicans b/c they promised to R&R Obamacare. They didn’t! I feel violated. #MeTooCongress,2,,
921775593036886017,Q6 Where can I go to get help? #SexualAssault #MeToo #PeriGirlsChat question from @charlenedwinley pic.twitter.com/55m3qCUkGc,1,3,
923104508292382720,I was stalked on @TfL even though I was paying attention to my surroundings #MeToo pic.twitter.com/rvVlVhmcfR,1,1,2
919916709817016320,"So, am I to understand the #MeToo hashtag signifies victims of child sex abuse?...",1,3,
924662869823811584,woman as pattern on website #streetart #woman #metoo #art #contemporaryart #drawing #kitten #style Have a nice day https:// buff.ly/2lqrB1m pic.twitter.com/QaxpESEX9q,2,,
919933423543873536,"one girl couldn't take her eyes off me, she followed me about,felt I was being stalked, I felt traumatized #metoo",1,1,1
919877073295966209,"Maybe if you majored in Engineering instead of Gender Studies you wouldn't be out being shady, instead of studying. #MeToo",1,2,
920696932871430146,Even when I was pregnant I was sexually harassed by my boss but I needed the job. #metoo,1,1,2
920071803879546881,#MeToo – 17 – Boss taking too much of a liking to me – shoulder touching to back… thankfully.....,1,1,2
919940080806055936,I WAS FIRED! #MeFuckingToo #MeToo The ass grab was nice though.,1,1,2
924193221722460161,"It's even worse, because I'm trans & they could tell. Safe to assume they weren't following me to ask me out for a lovely evening. #MeToo",1,1,2
924687244782321664,"I'm encouraged by signals, from MeToo to the black legging fad, that feminine humanity is at a tipping point in the long arc of the story",1,2,
923801415075680256,What are the rules for the behaviour of women in the public sphere? #MeToo What is the basis of those rules? #Discuss,1,3,
921999127956815872,"If I may say, all victims're shamed, not believed, not only women. Abusers make female & male victims. Isn't it unfair to ban males ? #metoo",1,3,
919890479247970304,"As a defense contractor, nearly lost my job for telling my employer about a civilian government employee harassing me. #metoo",1,1,2
921117046401880065,Odd man just called me a bitch as I am just walking along #YesAllWomen #metoo #hatecrime,1,1,1
920724361572532224,"I won’t be silent any more. A television exec assaulted me, the specific power dynamics of this industry aid & abet men like him. #metoo",1,1,3
919970512679272449,#MeToo #I was 14 when construction workers catcalled me in a crossing walk beside my middle school. I spent that day enveloped by shame.,1,1,1
920087192923508736,"I've been grabbed twice by guys on my way home from dance, cat called, been smacked in the ass by men carts at work (on purpose duh) #MeToo",1,1,1
920838433966252032,So today some man contacted me through my etsy shop in order to send me a perverted fantasy of his. #metoo,1,1,1
920318154818985984,“Me too. My boss used to call me a ‘good girl’ when I did my job right. At the White House.” #metoo #metootv @cnast_ https://t.co/opcYSbo5ec,1,1,1
922278918274633729,Turn my notifications Follow everyone who retweets and likes this #TrapaDrive #MeToo #MGWV #IFB,2,,
920089677578866688,"Because he went around bragging that he got what he wanted anyway"" when I dumped him. #MeToo""",1,1,1
921293833710776320,"Today a man said You should be used to that by now""No.I will never become accustomed to catcalling and unwarranted sexual comments #MeToo""",1,1,1
923185928449003520,Like USA or GB for instance where thousands are now able to say #MeToo for the first time in their lives yet are still doubted,2,,
919855283190583296,#MeToo Catcalling. Comments on my boobs. Being grabbed on a high street and forcibly kissed. No one stopped to help despite my yelling.,1,1,1
920124979525640192,"I entered a giveaway for a chance to win  #MeToo with Me Too Hand Sign T-Shirt on Amazon. https:// giveaway.amazon.com/p/bb4fbbd41a71 d3c9/?ref_=tsm_4_tw_p_tw … #giveaway""",2,,
922145523733352449,Law firms are Rife with this kind of abuse. Senior Partners & senior Associates abusing female subordinates. Happens all the time. #MeToo,1,1,2
920001157077934080,I was only 5 and it still haunts me to this day. I'm 18 now... #MeToo,1,1,3
920413958519083013,I had to hit someone to get him to stop touching me after I had repeatedly told him to stop. He said my legs 'were just so meaty' #MeToo,1,1,2
920234477519101953,I got fired because a stupid slut at my job claimed I exposed myself to her after I refused to lend her money #MeToo #blackmail,1,1,2
920153139210108930,insta bots for micro-influencers targeting a #MeToo post with ambiguously positive emoji comments is the most cynical of gambits.,2,,
920648463368499201,The latest Best of Today's News! https:// paper.li/sydwrite/13602 77474?edition_id=65e42560-b40b-11e7-8bb0-0cc47a0d1609 … #metoo #manbooker2017,2,,
921183949086322688,Why do women think it's ok to grope guys? #metoo #herthough,1,3,
921445535738765312,"Wen women speak up abt sexual assault, they get the blame, not men. 'Why didn't we stop them earlier? At workplace or within family. #MeToo",1,3,
920227859037290497,"Dear #women, can we please stop with all this ##MeToo nonsense now https://t.co/WsH6wXIXKE #socialbuzz #askingforit",1,2,
919950294825320448,"How about that time the lead singer from Bastille grabbed me and forced his mouth on me, twice, without consent even when I said no? #MeToo",1,1,2
920306926067466241,#MeToo because when I told my bosses about being sexually harassed/assaulted at work I was threatened to be fired if I didn’t shut up,1,1,2
923180564034682885,#MeToo Work-Related #Harassment can develop in many layers which are often missed. #AbuseofPower #Retaliation #LawEnforcement,1,3,
919963682435751943,"I was assaulted at worked, fired the next day. I was so young, I was too stunned to tell anyone #MeToo #ItHappenedtoMe",1,1,3
919955076894154753,"Looking for any GOP / Conservative woman on the #metoo hashtag. Unfortunately, I haven't found a single one. Anyone?",1,3,
920235448311603200,#MeToo I was 12 when a man cat called me for the first time. It's not sexy. It's disgusting. It didn't make me feel 'hot'. I was terrified.,1,1,1
920025183167156224,Innit. Nearly every #metoo post I’ve seen has a man complaining they’re being unfairly maligned in it.,1,3,
919977901352734721,"He said I looked tired and started rubbing my shoulders. Told him to stop, but he kept on touching me #metoo",1,1,2
923656539835047936,"Hey @TheEllenShow , you can stare at my junk all day long."" I love bull-dykes!!! #doublestandard #hypocricy #practicewhatyoupreach #metoo""",1,2,
919952894518063106,@Alyssa_Milano needs to change #metoo to #Iknew,1,3,
920084941148364802,my favorite part of #metoo is all the men writing posts about not wanting to make it about them and then absolutely making it about them,1,3,
919857229897093121,"#metoo . Police officer. College professor. First lawyer I contacted for my case told me he thought the story of my rape was, “hot.”",1,1,2
919990587767398401,"Unless you were sexually assaulted, don't #MeToo Unless you're protesting police brutality against POC, don't #TakeAKnee PLEASE.",1,3,
920029089179820033,"4)They talked me out of making a report, they kept me quiet. I was petrified. We need to demand better for victims EVERYWHERE. #MeToo",1,1,1
919949081044070402,#MeToo is good . But feminism can only succeed when all women have resources to be tech savvy and support structure to speak up.,1,3,
920744672280088576,"#MeToo *Counts..* *Gives up* Welcome to the Orient The stricter a society, the more fucked up it is Stop importing these creeps as migrants.",1,3,
920827504692260864,#metoo should not be only for women. That's being ignorant to think that only girls and women are sexually abused. It's almost 50/50. https:// twitter.com/tricolore/stat us/919987219213045760 …,1,2,
919901247712452609,"gave me inappropriate gifts (a $10000 Superman comic that was promptly stolen), fancy dinners, & backrubs in the office. #metoo 2/",1,1,2
924396769496256512,Interesting observation: #metoo is all over social media with the exception of LinkedIn. No one dares.,1,3,
920336491041173505,#MeToo #MoiAussi A boy who attempt to kiss me,1,1,2
920264928388317185,"I once saw a nurse take my Jello out of my Hospital tray and give it to her son on Take your kid to work day""....Nasty, Nasty Nurse. #metoo https:// twitter.com/chelslynne_k/s tatus/920129759782334465 …""",2,,
920352197535256576,"One tweet is a hashtag MeToo .. next tweet  who wants to be in a gangbang!! At least 50 women replying oh please pick me pick me""",1,2,1
919982963701325824,"If you're a #MeToo then you know #WhySexEd is important, and you have got to see the @NEMOamsterdam http://www. scarymommy.com/sex-education- netherlands-surpasses-us/ … @ScaryMommy",2,,
920384628392726528,I'd never had sex before but when I started crying &amp; asked him to stop he ignored me &amp; kept going until he was finished. #metoo,1,1,3
920305378071666688,"I woke to find him bending my arm for his own pleasure, what happened next I’ll never forget. I lost my best friend. I lost myself #MeToo",1,1,2
919875901298565121,@handy #handy ignored my complaints about one of their employees harassing and assaulting me since I was merely perceived as a hor. #metoo,1,1,2
921090842126888961,#metoo In every work place sexual advances have happened and they felt they had the right since they were the boss of me.,1,1,2
919916473702895617,I experience sexual harassment regularly &it doesn't get any easier to respond to. Back in January I had a run-up that shook me #MeToo (3/?),1,1,2
920266987355430913,Fusionmarx is out! https:// paper.li/fusionmarx/139 7597708?edition_id=a2efb0c0-b337-11e7-8823-0cc47a0d164b … #givingtuesday #metoo,2,,
920099460813766657,#MeToo 3 times before I was 10. By people I was supposed to be able to trust. Why me is a question I ask myself every day. I'm 39.,1,1,2
923629996157161473,#TrapaDrive #MGWV #MeToo #1DDrive Retweet Follow everyone Follow back #NaijaFollowTrain #GainWithXtianDela IFB,2,,
920420057355837443,Served tables in college. Touched in managers office by a customer. Manager saw and never said a word. #SilenceIsComplicity #metoo,1,1,2
